time [days], distance [m]
13.2022, 114.7388 
13.2068, 92.5905 
13.2078, 187.8324 
13.2096, 109.3709 
13.2101, 64.5368 
13.2105, 150.3596 
13.2113, 143.9514 
13.2128, 36.4005 
13.2148, 129.6302 
13.2149, 130.5105 
13.2159, 140.4600 
13.2195, 47.8539 
13.2213, 113.1769 
13.2311, 82.2982 
13.2314, 106.0424 
13.2328, 96.5194 
13.2353, 166.3641 
13.2539, 146.7106 
13.2557, 67.6757 
13.2578, 134.6143 
13.2626, 120.1666 
13.2636, 132.9662 
13.2657, 155.2192 
13.2741, 99.8599 
13.2756, 43.3820 
13.2762, 60.5392 
13.2769, 49.0408 
13.2776, 79.3977 
13.2779, 67.4685 
13.2785, 98.3514 
13.2787, 92.0217 
13.2791, 123.0163 
13.2794, 22.2036 
13.2795, 56.3205 
13.2801, 48.0104 
13.2804, 1.0000 
13.2809, 46.3249 
13.2814, 40.7185 
13.2816, 66.2873 
13.2819, 50.4876 
13.2826, 41.0122 
13.2830, 45.2217 
13.2835, 57.9741 
13.2838, 78.8733 
13.2840, 61.4003 
13.2843, 40.6079 
13.2846, 38.0789 
13.2849, 32.2490 
13.2851, 94.9368 
13.2854, 32.6497 
13.2857, 49.9300 
13.2858, 36.3456 
13.2860, 47.8017 
13.2861, 70.7107 
13.2866, 13.1529 
13.2867, 69.1231 
13.2871, 66.6108 
13.2872, 68.4763 
13.2877, 74.0000 
13.2881, 43.8634 
13.2883, 64.1950 
13.2884, 96.6747 
13.2888, 32.0000 
13.2890, 36.2491 
13.2892, 77.0260 
13.2894, 102.4158 
13.2897, 82.3468 
13.2902, 49.6488 
13.2909, 44.9222 
13.2913, 94.1913 
13.2919, 70.0357 
13.2924, 165.7377 
13.2925, 53.6004 
13.2928, 60.1082 
13.2930, 109.4166 
13.2932, 197.6487 
13.2937, 53.8516 
13.2942, 164.1250 
13.2946, 135.4179 
13.2950, 57.8705 
13.2952, 91.0659 
13.2953, 59.0339 
13.2957, 18.0278 
13.2961, 101.0792 
13.2964, 149.1643 
13.2969, 85.0529 
13.2973, 28.0179 
13.2980, 133.0601 
13.2984, 23.8537 
13.2986, 103.0776 
13.2988, 34.4819 
13.2996, 72.7186 
13.3002, 22.8254 
13.3003, 134.7182 
13.3005, 132.1855 
13.3008, 204.8927 
13.3011, 58.5235 
13.3014, 40.5216 
13.3016, 76.5376 
13.3017, 78.4092 
13.3024, 80.4114 
13.3031, 73.9797 
13.3033, 170.5579 
13.3035, 114.2322 
13.3037, 129.3561 
13.3049, 78.0064 
13.3052, 132.1968 
13.3053, 124.9520 
13.3056, 163.0859 
13.3058, 56.6039 
13.3066, 64.0781 
13.3068, 171.8400 
13.3072, 172.2353 
13.3074, 161.2079 
13.3075, 176.0284 
13.3080, 142.3692 
13.3082, 161.5549 
13.3084, 101.2126 
13.3086, 56.0803 
13.3090, 130.0500 
13.3094, 143.2829 
13.3099, 152.9575 
13.3106, 96.9381 
13.3108, 55.0364 
13.3115, 89.2749 
13.3117, 86.8332 
13.3120, 197.1852 
13.3127, 178.0449 
13.3128, 96.7988 
13.3143, 137.1313 
13.3144, 128.1562 
13.3148, 129.0349 
13.3159, 66.9403 
13.3163, 157.2927 
13.3166, 112.7209 
13.3172, 98.0051 
13.3208, 197.7170 
13.3211, 165.0000 
13.3213, 159.4522 
13.3218, 175.1371 
13.3234, 180.6018 
13.3238, 218.5521 
13.3257, 107.3546 
13.3267, 237.4974 
13.3270, 47.5079 
13.3280, 192.5123 
13.3285, 148.5564 
13.3287, 195.7269 
13.3294, 87.4643 
13.3297, 188.9047 
13.3298, 323.5429 
13.3303, 93.8616 
13.3304, 171.9767 
13.3307, 174.0029 
13.3313, 112.1606 
13.3330, 135.0926 
13.3335, 136.1800 
13.3339, 139.0863 
13.3342, 105.3043 
13.3351, 179.0754 
13.3354, 168.8816 
13.3355, 142.2709 
13.3356, 135.6650 
13.3358, 129.4025 
13.3360, 223.5800 
13.3362, 181.0442 
13.3366, 229.8695 
13.3378, 123.6932 
13.3380, 233.6343 
13.3383, 244.9694 
13.3384, 225.5504 
13.3388, 253.5528 
13.3390, 212.0778 
13.3392, 226.5502 
13.3397, 153.3949 
13.3399, 211.5963 
13.3406, 194.7434 
13.3408, 166.2077 
13.3411, 192.0026 
13.3420, 145.0000 
13.3422, 216.5410 
13.3424, 114.0702 
13.3432, 194.8333 
13.3438, 153.1698 
13.3446, 252.5173 
13.3452, 171.4060 
13.3457, 132.0341 
13.3461, 237.5395 
13.3464, 212.4759 
13.3467, 140.2926 
13.3470, 130.7402 
13.3472, 91.0055 
13.3473, 201.6457 
13.3477, 133.6001 
13.3484, 152.8169 
13.3487, 216.3146 
13.3520, 127.0276 
13.3549, 198.9296 
13.3562, 169.5671 
13.3564, 157.1560 
13.3567, 147.8986 
13.3574, 146.5094 
13.3577, 115.2606 
13.3587, 101.0050 
13.3593, 167.2961 
13.3595, 248.4552 
13.3600, 86.8332 
13.3606, 55.9464 
13.3611, 160.3278 
13.3627, 280.0446 
13.3648, 208.9067 
13.3653, 202.7141 
13.3676, 223.9866 
13.3678, 158.7010 
13.3707, 156.4864 
13.3720, 241.0145 
13.3728, 103.4843 
13.3749, 152.8005 
13.3760, 148.9463 
13.3768, 275.8351 
13.3793, 127.8828 
13.3832, 113.7453 
13.3862, 64.9384 
13.3887, 112.6410 
13.3894, 145.8012 
13.3923, 119.5199 
13.3937, 142.0035 
13.3941, 120.4326 
13.4018, 192.5747 
13.4037, 178.3984 
13.4039, 140.8013 
13.4049, 143.6001 
13.4064, 220.2272 
13.4247, 146.8605 
13.4267, 169.1892 
13.4317, 172.0523 
13.4397, 209.8047 
13.4401, 141.1559 
13.4407, 181.4966 
13.4448, 169.9206 
13.4570, 149.6830 
13.4639, 134.1827 
13.4817, 215.5017 
13.4836, 86.4523 
13.4906, 195.1820 
13.4950, 138.7083 
13.5229, 101.0198 
13.5283, 106.2309 
13.5337, 363.6839 
13.5596, 211.5136 
13.5770, 236.3810 
13.6177, 306.9544 
13.6232, 174.9514 
13.6244, 301.1993 
13.6287, 230.8874 
13.6289, 262.5605 
13.6829, 118.7139 
13.6858, 129.8692 
13.6861, 140.9113 
13.6879, 139.1761 
13.6890, 136.2351 
13.6897, 146.7310 
13.7061, 72.0347 
13.7080, 58.5235 
13.7082, 122.0533 
13.7110, 61.6117 
13.7501, 126.4792 
13.7982, 157.0987 
13.8062, 163.4442 
13.8149, 176.2555 
13.8156, 129.0659 
13.8165, 278.3613 
13.8169, 115.3126 
13.8170, 97.8008 
13.8186, 51.0882 
13.8191, 260.0346 
13.8193, 283.0972 
13.8197, 357.3262 
13.8268, 267.7200 
13.8270, 108.8531 
13.8281, 93.0591 
13.8301, 173.0780 
13.8324, 301.0149 
13.8330, 350.2942 
13.8339, 383.4384 
13.8345, 271.5879 
13.8351, 316.4617 
13.8357, 421.4748 
13.8360, 396.3534 
13.8361, 330.2983 
13.8363, 406.5882 
13.8368, 337.5515 
13.8372, 368.3762 
13.8377, 405.4282 
13.8380, 122.0246 
13.8382, 340.0662 
13.8406, 290.8694 
13.8425, 369.3196 
13.8427, 370.2661 
13.8442, 138.4955 
13.8448, 143.7359 
13.8461, 205.8009 
13.8468, 91.9239 
13.8480, 352.3890 
13.8490, 329.7105 
13.8499, 235.5525 
13.8503, 309.0259 
13.8504, 112.2943 
13.8510, 370.8275 
13.8515, 249.6337 
13.8521, 284.5646 
13.8526, 241.8533 
13.8528, 276.7400 
13.8530, 165.4841 
13.8531, 247.8810 
13.8539, 265.0000 
13.8546, 220.6762 
13.8553, 273.6074 
13.8563, 253.7124 
13.8567, 241.9194 
13.8572, 221.8941 
13.8578, 240.0000 
13.8581, 247.1295 
13.8583, 245.7824 
13.8587, 241.1970 
13.8589, 295.8953 
13.8619, 210.2023 
13.8622, 236.0339 
13.8631, 256.0352 
13.8633, 198.6001 
13.8636, 270.6677 
13.8651, 219.4926 
13.8659, 146.7549 
13.8708, 290.6217 
13.8715, 239.7749 
13.8737, 224.5440 
13.8740, 324.2299 
13.8750, 188.1303 
13.8759, 259.1467 
13.8765, 214.3478 
13.8768, 218.7693 
13.8772, 125.5906 
13.8777, 259.5554 
13.8778, 118.2074 
13.8781, 221.5423 
13.8783, 197.7675 
13.8787, 270.6585 
13.8799, 137.0584 
13.8800, 236.5798 
13.8803, 193.2589 
13.8810, 244.8836 
13.8814, 202.6327 
13.8816, 229.4014 
13.8818, 224.0089 
13.8823, 223.0336 
13.8826, 230.7293 
13.8831, 252.4381 
13.8834, 270.1481 
13.8835, 332.0316 
13.8837, 242.6623 
13.8840, 246.9028 
13.8843, 216.1782 
13.8845, 321.7592 
13.8851, 247.4914 
13.8861, 84.8646 
13.8871, 253.5390 
13.8875, 234.2926 
13.8881, 250.3797 
13.8884, 258.5440 
13.8886, 243.9529 
13.8890, 260.2787 
13.8892, 241.6713 
13.8897, 200.3821 
13.8899, 276.5231 
13.8904, 290.6888 
13.8908, 306.4931 
13.8913, 274.7981 
13.8927, 354.1892 
13.8931, 231.2163 
13.8933, 307.0586 
13.8936, 291.1099 
13.8938, 295.2694 
13.8941, 295.0424 
13.8945, 267.6602 
13.8948, 239.4201 
13.8955, 337.0134 
13.8961, 335.3103 
13.8963, 271.4424 
13.8970, 302.1208 
13.8974, 261.6295 
13.8977, 188.1117 
13.9000, 344.4938 
13.9001, 332.3853 
13.9021, 166.0482 
13.9040, 337.4152 
13.9043, 245.3589 
13.9049, 147.2005 
13.9082, 325.5303 
13.9093, 333.7679 
13.9094, 305.9967 
13.9105, 332.6409 
13.9113, 140.0714 
13.9116, 266.0620 
13.9118, 246.8947 
13.9136, 177.7920 
13.9152, 257.8565 
13.9154, 242.5634 
13.9158, 172.9046 
13.9159, 190.9372 
13.9161, 182.5294 
13.9180, 266.2574 
13.9190, 147.8513 
13.9199, 254.0177 
13.9203, 219.8590 
13.9205, 202.8300 
13.9207, 228.7400 
13.9214, 128.4445 
13.9227, 249.9000 
13.9231, 51.4782 
13.9238, 258.6001 
13.9239, 231.0195 
13.9245, 222.1936 
13.9251, 254.8490 
13.9252, 47.2652 
13.9259, 74.4648 
13.9262, 255.8613 
13.9266, 234.0000 
13.9268, 200.9975 
13.9269, 205.9150 
13.9271, 197.3449 
13.9280, 268.4865 
13.9292, 213.0376 
13.9297, 185.3025 
13.9304, 183.2184 
13.9313, 227.7060 
13.9327, 184.7187 
13.9331, 214.0841 
13.9354, 313.4980 
13.9359, 271.2803 
13.9363, 245.1775 
13.9365, 280.9217 
13.9370, 199.6121 
13.9373, 297.2137 
13.9378, 338.7639 
13.9414, 222.6073 
13.9433, 86.4002 
13.9438, 265.6633 
13.9442, 252.4639 
13.9444, 228.8165 
13.9458, 212.5582 
13.9461, 262.8650 
13.9476, 282.3491 
13.9478, 241.2488 
13.9494, 344.6070 
13.9495, 297.7415 
13.9501, 174.7741 
13.9508, 346.4333 
13.9510, 277.0018 
13.9520, 266.5877 
13.9523, 307.3191 
13.9526, 325.2814 
13.9531, 245.9045 
13.9577, 209.3538 
13.9578, 358.6321 
13.9652, 338.2455 
13.9677, 231.3979 
13.9697, 220.4110 
13.9709, 245.2468 
13.9713, 220.2726 
13.9740, 389.5664 
13.9758, 239.9271 
13.9771, 158.1518 
13.9774, 191.0026 
13.9780, 234.5464 
13.9781, 277.4617 
13.9819, 335.9360 
13.9827, 338.9705 
13.9833, 321.8959 
13.9843, 178.0449 
13.9910, 224.8755 
13.9924, 186.9385 
13.9926, 191.0026 
13.9943, 290.6166 
13.9945, 296.6648 
13.9948, 258.4879 
13.9950, 280.9199 
13.9957, 286.6932 
13.9967, 304.1332 
13.9968, 148.9463 
13.9988, 286.9233 
13.9996, 345.9841 
14.0017, 311.8734 
14.0019, 299.7015 
14.0020, 265.2244 
14.0023, 333.6645 
14.0025, 275.6592 
14.0028, 297.0606 
14.0029, 300.4663 
14.0031, 284.8386 
14.0034, 320.5246 
14.0043, 279.0340 
14.0056, 276.4001 
14.0058, 191.6586 
14.0066, 305.4996 
14.0077, 224.1830 
14.0082, 275.4360 
14.0085, 270.5125 
14.0096, 256.6749 
14.0099, 310.4126 
14.0120, 294.1241 
14.0131, 311.7435 
14.0133, 228.1776 
14.0139, 305.4079 
14.0149, 309.3865 
14.0155, 295.4133 
14.0165, 283.3408 
14.0168, 266.6927 
14.0202, 333.1606 
14.0213, 238.1449 
14.0255, 303.1171 
14.0308, 272.3564 
14.0314, 293.6001 
14.0319, 325.2722 
14.0322, 325.6409 
14.0325, 314.2133 
14.0333, 303.6379 
14.0334, 351.4157 
14.0338, 316.2673 
14.0339, 321.8851 
14.0341, 321.7266 
14.0356, 326.7185 
14.0359, 304.6079 
14.0364, 241.9132 
14.0371, 342.1169 
14.0380, 304.8098 
14.0393, 367.8505 
14.0397, 332.2665 
14.0403, 119.8874 
14.0406, 244.7611 
14.0422, 292.1660 
14.0423, 258.5653 
14.0433, 283.4255 
14.0446, 294.7830 
14.0449, 353.5647 
14.0489, 335.8720 
14.0504, 233.2252 
14.0507, 227.1849 
14.0510, 196.4586 
14.0519, 316.7649 
14.0527, 216.7787 
14.0557, 366.2035 
14.0572, 259.9423 
14.0573, 202.0718 
14.0608, 186.9545 
14.0619, 171.1724 
14.0624, 272.6940 
14.0627, 743.7506 
14.0628, 350.0757 
14.0630, 255.4545 
14.0638, 374.0401 
14.0661, 360.3124 
14.0664, 362.0497 
14.0717, 238.5561 
14.0744, 319.3634 
14.0760, 327.0856 
14.0764, 227.4665 
14.0770, 240.5203 
14.0772, 354.3586 
14.0777, 346.7059 
14.0782, 381.0958 
14.0811, 228.3002 
14.0813, 241.8677 
14.0815, 184.8946 
14.0875, 223.2891 
14.0905, 251.4359 
14.0909, 200.6390 
14.0914, 206.5260 
14.0929, 245.4893 
14.0943, 393.2760 
14.0957, 322.8157 
14.0972, 334.5235 
14.0974, 354.9380 
14.0976, 261.0939 
14.0993, 317.9072 
14.0999, 305.1639 
14.1001, 246.0020 
14.1002, 204.4138 
14.1038, 356.6357 
14.1057, 218.5864 
14.1082, 311.1173 
14.1114, 275.0727 
14.1119, 300.0817 
14.1133, 330.8474 
14.1139, 231.3547 
14.1145, 201.3579 
14.1191, 328.1235 
14.1194, 334.9104 
14.1210, 232.5511 
14.1212, 253.6178 
14.1219, 322.0512 
14.1227, 326.1181 
14.1243, 188.0425 
14.1248, 406.2868 
14.1266, 390.8990 
14.1273, 373.2626 
14.1278, 233.2059 
14.1280, 349.4481 
14.1284, 350.2942 
14.1292, 308.3715 
14.1312, 363.6001 
14.1319, 328.4935 
14.1354, 406.0111 
14.1356, 367.6044 
14.1362, 397.6984 
14.1386, 327.5515 
14.1395, 333.1816 
14.1402, 382.1060 
14.1423, 358.6698 
14.1442, 350.8518 
14.1444, 370.8719 
14.1445, 351.6476 
14.1468, 346.1517 
14.1469, 335.4400 
14.1500, 374.0802 
14.1808, 388.8200 
14.1819, 358.3364 
14.1835, 408.1777 
14.1839, 370.9515 
14.1854, 373.0630 
14.1857, 398.2085 
14.1860, 384.5062 
14.1865, 388.7428 
14.1871, 395.1417 
14.1880, 374.5464 
14.1883, 373.0536 
14.1884, 392.5621 
14.1892, 414.9566 
14.1897, 440.6960 
14.1899, 401.7810 
14.1906, 366.9946 
14.1913, 391.2148 
14.1918, 394.6061 
14.1940, 379.7170 
14.1973, 385.0195 
14.1996, 304.9623 
14.2061, 322.8761 
14.2081, 378.7466 
14.2118, 204.6192 
14.2121, 370.2972 
14.2142, 371.6517 
14.2182, 413.2989 
14.2197, 412.5639 
14.2202, 383.6352 
14.2209, 362.0014 
14.2334, 341.7748 
14.2416, 372.5426 
14.2420, 405.1728 
14.2421, 400.3124 
14.2426, 386.9742 
14.2429, 345.8005 
14.2436, 407.4923 
14.2451, 377.0676 
14.2479, 255.9316 
14.2488, 287.7377 
14.2494, 403.1129 
14.2522, 407.3389 
14.2523, 357.9330 
14.2526, 375.7286 
14.2529, 397.3135 
14.2530, 366.6129 
14.2539, 380.8254 
14.2540, 408.5792 
14.2542, 353.7358 
14.2551, 324.6798 
14.2556, 406.6362 
14.2561, 371.2142 
14.2567, 359.9347 
14.2569, 399.6649 
14.2578, 377.2387 
14.2581, 383.2206 
14.2584, 391.1534 
14.2590, 336.6096 
14.2592, 429.3309 
14.2600, 407.7708 
14.2605, 419.1515 
14.2606, 434.7712 
14.2614, 387.1912 
14.2619, 431.9838 
14.2621, 411.5386 
14.2624, 389.0347 
14.2629, 444.5042 
14.2726, 469.3197 
14.2730, 420.8004 
14.2734, 401.0798 
14.2748, 423.2363 
14.2751, 442.6613 
14.2756, 429.3309 
14.2759, 393.7334 
14.2763, 331.4408 
14.2766, 421.2470 
14.2769, 408.8728 
14.2770, 461.0531 
14.2771, 438.4016 
14.2773, 417.2349 
14.2777, 422.0190 
14.2779, 410.4096 
14.2787, 420.8967 
14.2789, 420.0976 
14.2797, 360.1736 
14.2799, 419.6725 
14.2801, 410.2353 
14.2806, 439.4110 
14.2808, 350.3213 
14.2810, 374.5130 
14.2815, 366.4424 
14.2817, 449.7221 
14.2819, 387.7796 
14.2824, 430.0291 
14.2829, 507.8287 
14.2833, 424.4385 
14.2835, 451.8340 
14.2842, 328.6411 
14.2845, 389.9359 
14.2849, 366.0191 
14.2856, 420.4593 
14.2860, 398.0113 
14.2865, 442.6884 
14.2871, 472.4034 
14.2873, 389.1337 
14.2886, 439.6089 
14.2887, 407.0700 
14.2889, 414.3429 
14.2890, 362.8912 
14.2896, 424.0189 
14.2905, 401.7985 
14.2912, 414.0930 
14.2915, 457.2144 
14.2917, 474.2362 
14.2919, 494.8990 
14.2922, 418.6323 
14.2924, 405.7450 
14.2926, 267.5911 
14.2928, 405.5133 
14.2932, 227.6335 
14.2935, 433.7764 
14.2936, 375.6661 
14.2937, 422.3091 
14.2939, 466.5029 
14.2942, 387.5784 
14.2944, 315.2935 
14.2949, 322.1180 
14.2952, 410.6799 
14.2960, 447.0101 
14.2963, 397.3965 
14.2964, 323.8904 
14.2966, 424.4997 
14.2969, 470.4094 
14.2970, 430.8898 
14.2975, 411.0012 
14.2977, 396.3496 
14.2983, 445.4088 
14.2995, 426.9543 
14.2999, 425.9589 
14.3002, 423.2080 
14.3008, 438.7995 
14.3012, 441.6163 
14.3014, 396.2676 
14.3021, 358.5777 
14.3026, 368.4196 
14.3050, 464.4868 
14.3053, 456.6191 
14.3058, 371.6019 
14.3062, 410.4108 
14.3064, 454.4029 
14.3069, 336.8828 
14.3078, 386.9328 
14.3084, 448.7694 
14.3089, 180.2720 
14.3108, 468.3119 
14.3117, 482.0000 
14.3140, 403.7635 
14.3150, 465.4299 
14.3181, 452.5539 
14.3184, 440.2556 
14.3194, 211.5680 
14.3202, 436.4917 
14.3216, 474.0464 
14.3218, 484.8309 
14.3231, 404.5046 
14.3242, 324.9692 
14.3244, 257.2353 
14.3246, 446.8299 
14.3248, 438.4803 
14.3252, 420.8622 
14.3273, 419.3805 
14.3330, 376.8886 
14.3345, 439.2778 
14.3350, 412.9528 
14.3379, 440.9909 
14.3382, 279.0878 
14.3384, 234.5421 
14.3385, 392.3226 
14.3389, 325.3383 
14.3392, 318.2468 
14.3399, 295.0424 
14.3402, 372.7144 
14.3416, 350.7506 
14.3417, 430.0988 
14.3425, 316.2673 
14.3427, 395.1405 
14.3432, 447.1107 
14.3435, 428.2254 
14.3436, 422.3139 
14.3439, 404.0012 
14.3453, 379.0211 
14.3470, 355.0000 
14.3480, 378.7374 
14.3488, 441.6163 
14.3497, 466.8404 
14.3502, 491.3736 
14.3503, 191.3139 
14.3511, 372.2284 
14.3558, 329.2066 
14.3576, 395.2948 
14.3577, 389.3430 
14.3581, 413.0521 
14.3582, 400.5658 
14.3600, 275.1381 
14.3603, 288.2516 
14.3610, 474.4555 
14.3629, 322.2002 
14.3642, 461.2353 
14.3682, 191.0026 
14.3815, 414.1654 
14.3817, 333.3782 
14.3818, 300.0150 
14.3823, 362.0829 
14.3841, 360.2138 
14.3853, 362.6045 
14.3855, 272.2499 
14.3856, 346.8789 
14.3858, 344.5243 
14.3863, 320.8489 
14.3864, 300.6011 
14.3867, 251.6029 
14.3886, 259.4937 
14.3891, 376.1130 
14.3894, 350.7948 
14.3909, 395.2936 
14.3911, 432.1724 
14.3953, 292.8566 
14.3955, 319.0611 
14.3971, 266.2424 
14.4037, 301.9006 
14.4053, 214.2195 
14.4066, 414.4828 
14.4071, 291.4961 
14.4076, 292.8276 
14.4088, 354.0452 
14.4090, 325.9356 
14.4098, 474.4102 
14.4100, 330.9456 
14.4101, 264.5921 
14.4111, 398.9599 
14.4114, 293.8248 
14.4116, 354.3162 
14.4128, 479.9802 
14.4136, 453.8777 
14.4173, 349.7385 
14.4177, 224.2432 
14.4190, 262.3604 
14.4191, 438.9590 
14.4192, 344.8159 
14.4194, 488.3052 
14.4215, 346.4390 
14.4230, 357.0658 
14.4233, 225.2576 
14.4247, 261.4001 
14.4278, 358.1313 
14.4282, 196.7257 
14.4350, 271.1162 
14.4358, 452.1338 
14.4383, 369.8554 
14.4386, 412.9891 
14.4405, 434.3294 
14.4416, 296.2499 
14.4496, 505.3959 
14.4503, 368.5702 
14.4506, 225.0555 
14.4512, 252.6697 
14.4514, 449.3250 
14.4549, 347.6104 
14.4584, 368.7180 
14.4593, 460.5660 
14.4614, 472.7050 
14.4626, 366.0000 
14.4628, 263.4862 
14.4651, 296.0608 
14.4653, 372.3775 
14.4656, 306.3495 
14.4666, 299.2324 
14.4699, 326.8333 
14.4706, 425.0000 
14.4708, 342.4748 
14.4743, 374.2526 
14.4752, 481.4862 
14.4763, 370.8719 
14.4769, 431.8935 
14.4787, 280.3212 
14.4790, 461.7326 
14.4801, 320.3826 
14.4809, 373.0121 
14.4833, 421.0048 
14.4849, 403.5369 
14.4905, 409.4838 
14.4927, 402.3146 
14.4929, 381.6870 
14.4930, 400.7044 
14.4933, 403.8378 
14.4948, 407.5414 
14.4967, 386.8036 
14.4974, 408.1042 
14.4985, 309.0712 
14.4987, 227.7060 
14.4992, 385.2687 
14.4996, 395.2164 
14.4997, 314.5537 
14.5001, 395.2025 
14.5008, 385.4517 
14.5034, 376.0213 
14.5044, 358.0503 
14.5047, 472.9789 
14.5052, 363.2258 
14.5056, 281.0872 
14.5067, 275.1818 
14.5077, 227.4907 
14.5079, 412.2730 
14.5094, 444.5683 
14.5106, 318.2342 
14.5115, 328.3428 
14.5119, 372.8190 
14.5131, 243.0165 
14.5144, 282.2552 
14.5167, 435.9082 
14.5180, 388.2937 
14.5212, 262.5738 
14.5223, 433.8767 
14.5311, 509.1876 
14.5319, 243.0021 
14.5323, 273.0073 
14.5331, 471.7372 
14.5338, 478.9791 
14.5342, 302.2334 
14.5355, 396.9143 
14.5364, 403.0707 
14.5387, 406.8341 
14.5405, 426.7517 
14.5414, 506.9517 
14.5444, 400.2624 
14.5454, 342.7069 
14.5557, 279.0340 
14.5579, 425.4245 
14.5607, 436.2935 
14.5694, 426.1608 
14.5696, 414.4828 
14.5700, 250.5993 
14.5703, 443.8468 
14.5719, 353.0057 
14.5727, 244.6406 
14.5729, 417.3979 
14.5767, 435.0736 
14.5768, 378.1323 
14.5779, 468.3855 
14.5864, 383.0470 
14.5868, 219.0091 
14.5872, 233.0536 
14.5880, 236.0339 
14.5888, 302.3971 
14.5890, 270.8948 
14.5895, 273.9945 
14.5904, 223.2935 
14.5906, 246.5948 
14.5910, 251.5313 
14.5925, 341.0132 
14.5931, 264.0076 
14.5934, 338.1952 
14.5935, 221.0023 
14.5939, 388.0052 
14.5952, 252.8715 
14.5954, 443.4975 
14.5956, 312.7715 
14.5957, 297.3214 
14.5965, 311.4161 
14.5970, 294.9610 
14.5974, 244.2478 
14.5978, 407.2063 
14.5983, 223.9866 
14.5986, 249.3692 
14.5988, 277.2003 
14.5992, 189.8420 
14.6016, 283.4255 
14.6070, 243.2386 
14.6073, 228.7116 
14.6081, 277.0271 
14.6092, 243.6144 
14.6096, 241.8471 
14.6098, 263.6001 
14.6102, 294.4096 
